acronym,description
Ba,batchSizeTrain
CoAlCyIsAc,cond_allocator_cycle_is_active
CoAlEpIsAc,cond_allocator_epoch_is_active
CoAlMe,cond_allocator_method
CoAlNeSc,cond_allocator_neutral_score
De,device
MaNuClPeRo,max_num_clients_per_round
MaNuCyPeCl,max_num_cycles_per_cluster
MaNuEpPeCl,max_num_epochs_per_client
NuEp,num_epochs
NuRo,num_rounds
OpMo,optimizer_momentum
OpWeDe,optimizer_weight_decay
Ro,rootIdda
ScLrIn,scheduler_lr_initial
ScLrMi,scheduler_lr_min
ScTMa,scheduler_T_max
Th,threshold
TrFd,transformer_fdaSize
TrIm,transformer_imageSize
TrJi,transformer_jitter
TrMe,transformer_means
TrSc,transformer_scale
TrSt,transformer_stds
Up,updatePeriod
